"year";"month";"temp";"prec"
2000;4;10,3;52
2000;5;15,2;110
2000;6;18,2;67
2000;7;16,2;132
2000;8;18,8;80
2000;9;13,8;98
2000;10;10,1;88
2000;11;4,9;39
2000;12;2,1;36
2001;1;-0,9;55
2001;2;2,2;42
2001;3;6,3;126
2001;4;7,2;60
2001;5;15,7;57
2001;6;15;115
2001;7;18,4;56
2001;8;18,9;104
2001;9;11,4;111
2001;10;12,3;39
2001;11;2,3;83
2001;12;-1,5;65
2002;1;-0,8;11
2002;2;5;51
2002;3;5,6;86
2002;4;8,4;23
2002;5;14,1;99
2002;6;18,9;74
2002;7;18,2;110
2002;8;18,2;142
2002;9;12;96
2002;10;8,9;102
2002;11;6;111
2002;12;1,4;75
2003;1;-1,2;55
2003;2;-4;24
2003;3;5,3;16
2003;4;8,8;21
2003;5;15,4;76
2003;6;21,5;52
2003;7;19,5;80
2003;8;22,3;33
2003;9;13,7;34
2003;10;6,1;90
2003;11;4,2;30
2003;12;0,1;35
2004;1;-0,9;118
2004;2;1,9;31
2004;3;3,2;37
2004;4;9,6;42
2004;5;11,8;65
2004;6;16,1;83
2004;7;17,8;93
2004;8;19;67
2004;9;14,4;59
2004;10;10,4;65
2004;11;3,7;39
2004;12;-0,7;28
2005;1;-0,1;49
2005;2;-3;58
2005;3;2,2;34
2005;4;9,5;88
2005;5;13,5;91
2005;6;17,6;72
2005;7;18,3;124
2005;8;16,1;130
2005;9;14,8;49
2005;10;9,9;42
2005;11;2,4;38
2005;12;-1,2;49
2006;1;-4;25
2006;2;-1,6;42
2006;3;1,8;98
2006;4;8,8;83
2006;5;13,5;88
2006;6;17,6;77
2006;7;21,9;45
2006;8;15,2;143
2006;9;16,4;24
